IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;mini;20571;240-162317 mini;240-162317-mini;Имплантология;BONETRUST;Германия;Аабатмент 17,5° с фиксирующим винтом и слепочным колпачком;;/upload/photo/97.png;/upload/photo/97.png
BoneTrust;абатменты;mini;20570;240-162300 mini;240-162300-mini;Имплантология;BONETRUST;Германия;Абатмент 0° с фиксирующим винтом и слепочным колпачком;;/upload/photo/96.png;/upload/photo/96.png
BoneTrust;абатменты;one;20800;220-170030 One;220-170030-one;Имплантология;BONETRUST;Германия;Формирователь десны;;/upload/photo/32_95_275.jpg;/upload/photo/32_95_275.jpg
BoneTrust;абатменты;one;20591;220-180030 One;220-180030-one;Имплантология;BONETRUST;Германия;Слепочный колпачок;;/upload/photo/89.jpg;/upload/photo/89.jpg
BoneTrust;абатменты;one;20590;220-163050 One;220-163050-one;Имплантология;BONETRUST;Германия;Мост на титановой основе;;/upload/photo/88_9_619.jpg;/upload/photo/88_9_619.jpg
BoneTrust;абатменты;one;20589;220-185030 One;220-185030-one;Имплантология;BONETRUST;Германия;Лабораторный аналог;;/upload/photo/91.jpg;/upload/photo/91.jpg
BoneTrust;абатменты;one;20588;220-166030 One;220-166030-one;Имплантология;BONETRUST;Германия;Колпачок для сканирования;;/upload/photo/90.jpg;/upload/photo/90.jpg
BoneTrust;абатменты;one;20587;220-163030 One;220-163030-one;Имплантология;BONETRUST;Германия;Классическая основа тугоплавкого сплава;;/upload/photo/88.jpg;/upload/photo/88.jpg
BoneTrust;абатменты;one;20585;220-100001 One;220-100001-one;Имплантология;BONETRUST;Германия;Винт фиксирующий;;/upload/photo/28_48_26.jpg;/upload/photo/28_48_26.jpg
BoneTrust;абатменты;one;20584;220-185040 One;220-185040-one;Имплантология;BONETRUST;Германия;Аналог лабораторный моделировочный;;/upload/photo/92.jpg;/upload/photo/92.jpg
